Renda;Total.Geral.de.Vagas;Quarto.s...dormitórios.;Área.considerada.para.avaliação..m2.;R..m2;Data.de.Refência.da.Avaliação;Valor.de.Avaliação..R..;Nº.de.Unidades.no.Andar.da.UP;Nº.de.pavimentos.do.Prédio..UP.;Padrão.das.Edificações.na.Região_Alto (por predominância);Padrão.das.Edificações.na.Região_Baixo;Padrão.das.Edificações.na.Região_Normal (c/ aspectos de alto);Padrão.das.Edificações.na.Região_Normal (c/ aspectos de baixo);Estado.de.Conservação.do.prédio..UP._Bom (aparência de novo);Estado.de.Conservação.do.prédio..UP._Regular (reparos importantes);Estado.de.Conservação.do.prédio..UP._Regular (reparos simples);Idade.Estimada.da.edificação.como.um.todo_<= 5;Idade.Estimada.da.edificação.como.um.todo_> 10 <= 20;Idade.Estimada.da.edificação.como.um.todo_> 20 <= 50;Idade.Estimada.da.edificação.como.um.todo_> 50 <= 100;Equipamentos.de.Segurança_SIM;Espaço.com.Churrasqueira_NÃO;Mini.Quadra.Esportiva_SIM;Piscina_NÃO;Portaria.e.ou.Guarita_NÃO;Salão.de.Festas_NÃO;Outros.Salões.de.Lazer_SIM;Sauna...Ofurô...Hidromassagem_SIM;Quadra.Poliesportiva_SIM;Pilotis_SIM;Acabamento.Fachada.Principal.da.Edificação_Cerâmica de Boa Qualidade;Acabamento.Fachada.Principal.da.Edificação_Granito ou Compatível;Acabamento.Fachada.Principal.da.Edificação_Pastilha;Acabamento.Fachada.Principal.da.Edificação_Porcelanato;Esquadrias.Fachada.Principal.da.Edificação_Ferro;Esquadrias.Fachada.Principal.da.Edificação_Madeira;Esquadrias.Fachada.Principal.da.Edificação_Vidro Temperado;Padrão.de.acabamento.da.Unidade_Alto (superior, luxo);Padrão.de.acabamento.da.Unidade_Normal (c/ aspectos de alto);Padrão.de.acabamento.da.Unidade_Normal (c/ aspectos de baixo);Estado.de.Conservação.da.Unidade_Bom (aparência de novo);Estado.de.Conservação.da.Unidade_Regular (reparos importantes);Estado.de.Conservação.da.Unidade_Regular (reparos simples)
2120;1;2;44,21;4410,77;19570;195000;6;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2597;1;2;42,47;6592,89;19566;280000;4;4;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2597;1;2;42,47;5415,59;19566;230000;4;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4361;2;3;75,78;8643,44;19569;655000;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1842;1;2;45,72;5249,34;19573;240000;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3280;2;3;258;2241,9;19566;578000;1;5;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
4801;2;3;87,23;6534,45;19568;570000;8;15;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
7654;1;1;75;10666,67;19564;8,00E+05;4;14;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
1842;1;2;62,13;6985,35;19558;434000;8;12;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0
1842;1;2;62,13;5311,44;19558;330000;8;12;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0
2512;0;3;93,87;4101,42;19569;385000;2;3;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
2639;0;2;44,68;2685,77;19570;120000;4;4;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
1842;2;3;85,06;5407,95;19570;460000;8;12;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1648;1;2;44,76;3261,84;19571;146000;10;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1842;1;2;48,58;4277,19;19570;207000;10;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2198;0;2;43,02;2789,4;19572;120000;4;4;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
2711;0;2;51,56;2327,39;19487;120000;2;4;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4545;0;3;77;2454,55;19576;189000;2;4;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8014;1;2;73;4657,53;19569;340000;6;5;0;0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1341;1;2;52,83;3501,8;19537;185000;8;8;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3257;1;2;62,19;3537,55;19535;220000;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2372;1;2;42,84;3314,66;19569;142000;8;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2372;1;2;42,84;3314,66;19569;142000;8;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1341;1;2;42,37;3776,26;19578;160000;4;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
6598;2;3;94,94;8233,88;19579;782000;8;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
12941;1;3;125;4800;19583;6,00E+05;4;18;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1341;1;2;47,88;3913,71;19584;187000;8;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3491;0;2;55;4958,15;19584;270000;4;6;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1842;1;2;47,37;3905,43;19530;185000;12;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1842;1;2;45,46;4027,88;19579;183000;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3177;1;2;53,85;2414,11;19577;130000;4;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
6598;1;2;56,55;8523,43;19534;482000;6;11;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6866;1;2;70;8757,14;19578;613000;4;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
4171;1;3;63,91;3911,75;19576;250000;4;4;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
5275;1;2;49,81;6946,4;19570;346000;6;11;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
9239;1;3;114,22;5690,77;19573;650000;6;7;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0
3528;0;2;45,6;5701,75;19583;260000;4;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;1;2;52,2;5651,34;19579;295000;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5981;1;3;110;6163,64;19583;678000;4;6;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2198;0;2;42,35;2715,47;19579;115000;4;4;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
2192;1;2;54,36;3495,22;19580;190000;8;10;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
